Item Name,Brand,Color,Location Found,Date Found,Lost Date,Item Category,Reported Lost Duration,Owner Information,Finder Information,Item Value,Condition When Found,Security Camera Coverage,Location Traffic,Weather Conditions,Event Occurrence,Found
ID Card,Hernandez LLC,PaleGreen,Study Lounge,07-10-2024,12-09-2024,Personal Accessories,30-09-2024,Repeat Reporter,Security,High,Good,Covered,Moderate Traffic,Snowy,Normal Day,Yes
ID Card,Woodard-York,BurlyWood,Library,02-10-2024,28-09-2024,Books,01-10-2024,First Time Reporter,Security,High,Good,Not Covered,Low Traffic,Snowy,During Event,No
Hat,-,MidnightBlue,Park,01-12-2024,01-11-2024,Books,22-11-2024,Repeat Reporter,Information Desk,High,Excellent,Covered,Moderate Traffic,Snowy,Normal Day,No
Wallet,-,Cornsilk,Student Union,21-02-2024,06-02-2024,Books,12-02-2024,Repeat Reporter,Security,Medium,Damaged,Covered,Low Traffic,Snowy,During Event,Yes
Backpack,-,Maroon,Bus Stop,03-05-2024,15-04-2024,Electronics,26-04-2024,Repeat Reporter,Information Desk,High,Damaged,Not Covered,High Traffic,Rainy,Normal Day,Yes
Necklace,-,YellowGreen,Cafeteria,26-03-2023,14-03-2023,Electronics,21-03-2023,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,Low Traffic,Snowy,Normal Day,Yes
Backpack,-,FloralWhite,Bus Stop,13-12-2024,23-11-2024,Personal Accessories,30-11-2024,First Time Reporter,None,Medium,Excellent,Covered,High Traffic,Sunny,Normal Day,Yes
Charger,Dickson Ltd,Plum,Cafeteria,21-03-2024,25-02-2024,Electronics,20-03-2024,First Time Reporter,Housekeeping,Low,Good,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Headphones,-,Chartreuse,Library Study Room,10-03-2023,16-02-2023,Books,27-02-2023,Repeat Reporter,None,Low,Damaged,Covered,Low Traffic,Snowy,During Event,Yes
Necklace,Galloway Inc,Gold,Student Union,10-07-2023,01-07-2023,Books,05-07-2023,First Time Reporter,None,High,Damaged,Not Covered,High Traffic,Cloudy,During Event,Yes
Notebook,-,Indigo,Outdoor Patio,09-03-2023,02-03-2023,Electronics,04-03-2023,Repeat Reporter,Security,High,Damaged,Not Covered,High Traffic,Cloudy,Normal Day,Yes
Phone Charger,-,LightSeaGreen,Computer Lab,30-09-2024,26-09-2024,Books,26-09-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Not Covered,Low Traffic,Snowy,Normal Day,Yes
ID Card,"Kirk, Kelly and Lawson",MediumAquaMarine,Library,27-01-2023,23-01-2023,Clothing,23-01-2023,First Time Reporter,Housekeeping,Low,Good,Covered,High Traffic,Sunny,During Event,No
Keys,-,LightYellow,Gym,30-06-2023,26-06-2023,Books,30-06-2023,Repeat Reporter,None,High,Good,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Backpack,-,MidnightBlue,Quad,28-05-2023,12-05-2023,Books,20-05-2023,First Time Reporter,Housekeeping,Medium,Excellent,Not Covered,Low Traffic,Cloudy,During Event,Yes
Headphones,"Hill, Morton and Wright",Violet,Cafeteria,29-07-2023,23-07-2023,Clothing,28-07-2023,First Time Reporter,None,Low,Good,Covered,High Traffic,Sunny,During Event,Yes
Headphones,-,DarkViolet,Baseball Field,12-09-2024,19-08-2024,Sporting Goods,26-08-2024,Repeat Reporter,Housekeeping,Low,Excellent,Covered,Moderate Traffic,Sunny,During Event,No
Scarf,"Martin, Rivera and Lopez",Lime,Football Stadium,16-09-2024,23-08-2024,Sporting Goods,15-09-2024,First Time Reporter,Housekeeping,Low,Excellent,Covered,Moderate Traffic,Snowy,Normal Day,Yes
Umbrella,Hill Inc,Navy,Shopping Mall,03-04-2023,06-03-2023,Sporting Goods,13-03-2023,First Time Reporter,Housekeeping,Low,Good,Covered,High Traffic,Rainy,Normal Day,Yes
Cell Phone,-,MintCream,Rooftop Bar,06-11-2023,27-10-2023,Personal Accessories,31-10-2023,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,Low Traffic,Snowy,During Event,No
Book,-,Tan,Library Stacks,29-06-2023,07-06-2023,Clothing,28-06-2023,First Time Reporter,Security,Low,Excellent,Covered,High Traffic,Cloudy,During Event,Yes
Laptop,"Young, Williams and Hamilton",ForestGreen,Bus Ride,08-01-2024,18-12-2023,Clothing,19-12-2023,First Time Reporter,None,High,Damaged,Covered,Moderate Traffic,Rainy,Normal Day,No
Book,Hale Ltd,Gainsboro,Coffee Shop,19-12-2023,11-12-2023,Clothing,13-12-2023,First Time Reporter,Housekeeping,Low,Good,Not Covered,High Traffic,Cloudy,During Event,Yes
Scarf,-,DarkViolet,Park,07-01-2023,01-01-2023,Personal Accessories,03-01-2023,First Time Reporter,Housekeeping,High,Excellent,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Notebook,-,LightSeaGreen,Classroom 303,03-08-2023,13-07-2023,Sporting Goods,13-07-2023,First Time Reporter,Information Desk,Medium,Excellent,Covered,Low Traffic,Cloudy,Normal Day,Yes
Charger,-,Thistle,Student Lounge,25-01-2023,10-01-2023,Sporting Goods,19-01-2023,First Time Reporter,Security,Medium,Good,Not Covered,High Traffic,Snowy,During Event,Yes
ID Card,-,Azure,Dormitory Lounge,03-05-2023,02-05-2023,Sporting Goods,03-05-2023,Repeat Reporter,Information Desk,Medium,Damaged,Covered,Moderate Traffic,Sunny,Normal Day,Yes
Laptop,Stewart Ltd,LimeGreen,Soccer Field,30-12-2023,09-12-2023,Clothing,15-12-2023,First Time Reporter,Housekeeping,Low,Damaged,Covered,Moderate Traffic,Sunny,Normal Day,No
Earbuds,-,DarkViolet,Science Building,07-10-2024,27-09-2024,Clothing,06-10-2024,Repeat Reporter,Security,High,Good,Covered,High Traffic,Rainy,Normal Day,Yes
Charger,-,Plum,Hiking Trail,13-03-2023,12-02-2023,Personal Accessories,20-02-2023,Repeat Reporter,Security,Low,Good,Covered,Low Traffic,Cloudy,During Event,Yes
Phone Charger,Reed-Goodman,Crimson,Student Center,21-01-2023,04-01-2023,Clothing,14-01-2023,Repeat Reporter,Housekeeping,Low,Good,Not Covered,High Traffic,Sunny,During Event,Yes
Earbuds,"Garcia, Myers and Murray",Ivory,Outdoor Concert Venue,20-07-2023,24-06-2023,Sporting Goods,10-07-2023,First Time Reporter,Security,High,Good,Covered,Low Traffic,Rainy,During Event,Yes
Charger,-,OliveDrab,Library,17-10-2024,20-09-2024,Clothing,08-10-2024,Repeat Reporter,Security,Low,Excellent,Covered,Low Traffic,Cloudy,During Event,Yes
Sunglasses,-,Ivory,Classroom 201,01-02-2023,28-01-2023,Electronics,01-02-2023,First Time Reporter,Housekeeping,Low,Good,Covered,Moderate Traffic,Sunny,During Event,Yes
Notebook,Davila Group,DarkBlue,Library Study Room,19-10-2023,20-09-2023,Electronics,21-09-2023,Repeat Reporter,Housekeeping,High,Excellent,Covered,High Traffic,Sunny,During Event,Yes
Scarf,White-Perez,MistyRose,Bus Stop,10-11-2023,18-10-2023,Clothing,30-10-2023,Repeat Reporter,Security,Medium,Good,Covered,Low Traffic,Snowy,During Event,Yes
Hat,-,Green,Beach,26-10-2023,11-10-2023,Personal Accessories,17-10-2023,First Time Reporter,None,Low,Damaged,Not Covered,High Traffic,Snowy,During Event,Yes
Gloves,"Cooper, Thomas and Gardner",Sienna,Study Lounge,04-01-2023,31-12-2022,Sporting Goods,02-01-2023,Repeat Reporter,Security,Medium,Good,Covered,High Traffic,Rainy,Normal Day,Yes
Phone Charger,"Rose, Quinn and Garcia",PowderBlue,Coffee Shop,08-09-2023,20-08-2023,Personal Accessories,29-08-2023,Repeat Reporter,Information Desk,High,Excellent,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Tumbler,"Hernandez, Myers and Davis",Sienna,Library Entrance,21-09-2023,22-08-2023,Electronics,10-09-2023,Repeat Reporter,Security,Low,Damaged,Covered,High Traffic,Cloudy,Normal Day,Yes
Backpack,-,Chocolate,Bookstore,13-12-2024,14-11-2024,Sporting Goods,09-12-2024,First Time Reporter,Housekeeping,High,Good,Covered,High Traffic,Snowy,During Event,No
Coffee Mug,Jimenez-Hernandez,AliceBlue,Gym,03-06-2024,22-05-2024,Personal Accessories,03-06-2024,First Time Reporter,Housekeeping,High,Excellent,Not Covered,High Traffic,Snowy,Normal Day,Yes
Cell Phone,"Thomas, Moore and Bradley",DarkCyan,Lecture Hall 104,11-08-2023,06-08-2023,Books,08-08-2023,Repeat Reporter,Security,Medium,Damaged,Not Covered,High Traffic,Snowy,Normal Day,Yes
Tablet,"Short, Davis and Cox",PaleVioletRed,Student Lounge,02-03-2024,17-02-2024,Clothing,01-03-2024,First Time Reporter,None,Low,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Water Bottle,-,BurlyWood,Trailhead,23-03-2024,19-03-2024,Books,23-03-2024,Repeat Reporter,Information Desk,Low,Damaged,Not Covered,Moderate Traffic,Cloudy,During Event,No
Jacket,-,LightCoral,Shopping Mall,17-11-2023,03-11-2023,Sporting Goods,16-11-2023,First Time Reporter,Information Desk,High,Excellent,Not Covered,Low Traffic,Snowy,Normal Day,No
Umbrella,-,Lavender,Bus Stop,04-02-2024,25-01-2024,Books,30-01-2024,First Time Reporter,Housekeeping,Medium,Excellent,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Tumbler,Richards-Clark,Moccasin,Beach,18-10-2024,27-09-2024,Personal Accessories,29-09-2024,First Time Reporter,Housekeeping,Medium,Excellent,Not Covered,Low Traffic,Sunny,Normal Day,Yes
Tumbler,Sharp Ltd,Salmon,Study Lounge,15-04-2024,04-04-2024,Personal Accessories,12-04-2024,Repeat Reporter,Information Desk,High,Excellent,Not Covered,Low Traffic,Rainy,Normal Day,No
Hat,Hudson-Becker,Teal,Coffee Shop,28-01-2024,14-01-2024,Personal Accessories,23-01-2024,Repeat Reporter,Information Desk,Low,Excellent,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Jacket,-,OliveDrab,Library Entrance,04-05-2024,06-04-2024,Electronics,20-04-2024,Repeat Reporter,Security,Low,Excellent,Covered,High Traffic,Cloudy,During Event,Yes
Scarf,-,Chartreuse,Bookstore,26-02-2023,27-01-2023,Personal Accessories,11-02-2023,First Time Reporter,Information Desk,High,Excellent,Not Covered,Low Traffic,Sunny,During Event,Yes
Notebook,Williams-Miller,MediumPurple,Gym,25-03-2024,10-03-2024,Books,22-03-2024,Repeat Reporter,None,Medium,Good,Not Covered,High Traffic,Cloudy,During Event,Yes
Phone Charger,-,DarkGoldenRod,Lecture Hall 104,31-12-2023,15-12-2023,Books,22-12-2023,First Time Reporter,Housekeeping,Low,Good,Not Covered,High Traffic,Sunny,Normal Day,No
Gloves,Rogers-Ford,LightGoldenRodYellow,Student Lounge,16-06-2024,09-06-2024,Personal Accessories,13-06-2024,First Time Reporter,None,Low,Excellent,Not Covered,Moderate Traffic,Snowy,During Event,No
Headphones,Sanchez-Wilson,LightSkyBlue,Trailhead,09-08-2023,08-08-2023,Electronics,08-08-2023,Repeat Reporter,None,High,Good,Not Covered,High Traffic,Snowy,During Event,Yes
Watch,Lewis-Lopez,LightSlateGray,Shopping Mall,03-08-2023,24-07-2023,Personal Accessories,31-07-2023,Repeat Reporter,Security,High,Excellent,Not Covered,Low Traffic,Cloudy,During Event,Yes
Keys,-,Tomato,Library,30-10-2023,02-10-2023,Clothing,02-10-2023,First Time Reporter,Information Desk,Low,Good,Not Covered,Low Traffic,Snowy,Normal Day,Yes
Gloves,Gomez-Garcia,MediumSeaGreen,Cafeteria,14-10-2024,26-09-2024,Personal Accessories,01-10-2024,First Time Reporter,Housekeeping,Medium,Excellent,Covered,Moderate Traffic,Cloudy,During Event,No
Backpack,-,MintCream,Lecture Hall 102,30-09-2023,18-09-2023,Sporting Goods,20-09-2023,Repeat Reporter,Information Desk,Medium,Excellent,Not Covered,High Traffic,Sunny,During Event,No
Watch,"Martin, Peterson and Harvey",Moccasin,Student Center,15-08-2023,02-08-2023,Clothing,02-08-2023,Repeat Reporter,Security,High,Excellent,Covered,Moderate Traffic,Sunny,During Event,No
Water Bottle,"Holloway, Lamb and Wilson",PowderBlue,Gym Locker Room,01-04-2023,16-03-2023,Sporting Goods,19-03-2023,First Time Reporter,None,Low,Excellent,Not Covered,Low Traffic,Snowy,Normal Day,No
Umbrella,-,Green,Bus Stop,11-02-2024,07-02-2024,Electronics,07-02-2024,First Time Reporter,Housekeeping,High,Damaged,Covered,High Traffic,Rainy,During Event,Yes
Charger,Chan PLC,DarkSalmon,Classroom 204,11-04-2024,10-04-2024,Books,11-04-2024,Repeat Reporter,Housekeeping,High,Good,Covered,Low Traffic,Sunny,Normal Day,Yes
Keys,-,Lime,Science Building,03-12-2023,04-11-2023,Sporting Goods,14-11-2023,Repeat Reporter,Housekeeping,Medium,Good,Not Covered,Low Traffic,Snowy,During Event,Yes
Umbrella,-,Aqua,Quad,31-07-2023,13-07-2023,Electronics,29-07-2023,First Time Reporter,Security,Medium,Excellent,Not Covered,Moderate Traffic,Rainy,Normal Day,No
Tablet,"Walker, Jones and Mclean",Ivory,Dormitory Lounge,08-10-2024,12-09-2024,Clothing,30-09-2024,First Time Reporter,None,Low,Damaged,Covered,High Traffic,Snowy,Normal Day,Yes
Tablet,"Johnson, Wilcox and Campbell",MediumVioletRed,Outdoor Amphitheater,19-08-2023,13-08-2023,Sporting Goods,19-08-2023,Repeat Reporter,Security,High,Excellent,Not Covered,Moderate Traffic,Snowy,Normal Day,Yes
Tablet,-,Chocolate,Library Study Room,12-03-2023,11-03-2023,Electronics,12-03-2023,First Time Reporter,Housekeeping,Low,Good,Covered,High Traffic,Snowy,Normal Day,Yes
Charger,"Hall, Martinez and Little",CadetBlue,Coffee Shop,20-05-2024,07-05-2024,Sporting Goods,09-05-2024,First Time Reporter,None,Low,Good,Covered,Moderate Traffic,Cloudy,During Event,Yes
Earbuds,-,DarkOrange,Basketball Court,19-02-2023,20-01-2023,Personal Accessories,04-02-2023,Repeat Reporter,Information Desk,Medium,Excellent,Covered,Low Traffic,Sunny,During Event,Yes
Phone Charger,-,MediumSeaGreen,Park,17-07-2023,26-06-2023,Books,11-07-2023,Repeat Reporter,None,High,Damaged,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Keys,-,DarkViolet,Stadium Bleachers,16-07-2024,25-06-2024,Electronics,08-07-2024,Repeat Reporter,Security,Low,Excellent,Not Covered,High Traffic,Rainy,During Event,Yes
Water Bottle,Russell-Hamilton,Linen,Common Area,15-07-2023,13-07-2023,Sporting Goods,15-07-2023,First Time Reporter,Housekeeping,High,Excellent,Covered,Low Traffic,Rainy,During Event,Yes
Laptop,Smith-Pierce,Khaki,Fitness Center,17-10-2024,12-10-2024,Clothing,15-10-2024,Repeat Reporter,Security,Medium,Damaged,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Umbrella,Herrera Group,SeaGreen,Cafeteria,10-12-2023,08-12-2023,Clothing,10-12-2023,First Time Reporter,Information Desk,Low,Good,Covered,High Traffic,Cloudy,During Event,Yes
Hat,-,DimGray,Skate Park,09-09-2023,27-08-2023,Clothing,09-09-2023,Repeat Reporter,Housekeeping,High,Excellent,Covered,High Traffic,Cloudy,Normal Day,No
Watch,-,OldLace,Library Stacks,04-09-2024,05-08-2024,Electronics,01-09-2024,Repeat Reporter,Information Desk,Medium,Excellent,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Notebook,-,MistyRose,Art Studio,08-01-2023,29-12-2022,Sporting Goods,05-01-2023,Repeat Reporter,None,High,Good,Covered,Low Traffic,Cloudy,Normal Day,Yes
Charger,"Stevens, Norris and Martin",LightSkyBlue,Student Lounge,12-09-2024,25-08-2024,Clothing,03-09-2024,Repeat Reporter,Housekeeping,High,Damaged,Not Covered,Low Traffic,Sunny,Normal Day,No
Wallet,-,Aquamarine,Auditorium,09-04-2023,19-03-2023,Electronics,08-04-2023,Repeat Reporter,Security,High,Excellent,Not Covered,High Traffic,Snowy,During Event,Yes
Laptop,Mendez-Davis,DeepPink,Bus Station,12-04-2024,05-04-2024,Electronics,07-04-2024,Repeat Reporter,None,Medium,Good,Not Covered,Moderate Traffic,Cloudy,During Event,No
Scarf,-,Orchid,Soccer Field,08-02-2024,09-01-2024,Electronics,10-01-2024,Repeat Reporter,None,Low,Excellent,Not Covered,High Traffic,Rainy,Normal Day,Yes
Phone Charger,-,Bisque,Chemistry Lab,03-09-2023,08-08-2023,Electronics,28-08-2023,Repeat Reporter,Security,Low,Excellent,Not Covered,High Traffic,Cloudy,Normal Day,Yes
Jacket,Hughes-Mcbride,Orange,Outdoor Concert Venue,10-07-2023,15-06-2023,Personal Accessories,29-06-2023,First Time Reporter,Information Desk,High,Excellent,Covered,Low Traffic,Sunny,During Event,Yes
ID Card,-,DeepSkyBlue,Study Lounge,19-08-2023,27-07-2023,Books,08-08-2023,First Time Reporter,Security,High,Good,Covered,Low Traffic,Snowy,During Event,Yes
Backpack,-,SeaGreen,Beach,18-01-2024,20-12-2023,Electronics,03-01-2024,Repeat Reporter,Information Desk,Medium,Damaged,Covered,High Traffic,Sunny,During Event,Yes
Watch,"Williams, Allen and Morris",BurlyWood,Dormitory Hallway,11-03-2024,12-02-2024,Personal Accessories,11-03-2024,Repeat Reporter,Housekeeping,Medium,Good,Not Covered,Moderate Traffic,Snowy,During Event,Yes
Earbuds,-,PaleVioletRed,Lecture Hall Lobby,10-08-2024,05-08-2024,Electronics,08-08-2024,First Time Reporter,Information Desk,Medium,Excellent,Covered,Moderate Traffic,Sunny,During Event,No
Notebook,-,PeachPuff,Bookstore,01-01-2023,10-12-2022,Clothing,30-12-2022,First Time Reporter,None,Medium,Good,Not Covered,Low Traffic,Cloudy,During Event,Yes
Umbrella,Hudson Inc,HotPink,Music Studio,01-05-2023,18-04-2023,Sporting Goods,27-04-2023,Repeat Reporter,Housekeeping,Low,Damaged,Not Covered,Moderate Traffic,Snowy,Normal Day,No
ID Card,Murphy Ltd,DarkSalmon,Computer Lab,16-08-2023,02-08-2023,Clothing,15-08-2023,First Time Reporter,Security,Medium,Damaged,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Water Bottle,-,PowderBlue,Botanical Garden,04-10-2024,12-09-2024,Books,15-09-2024,First Time Reporter,Housekeeping,Medium,Damaged,Not Covered,High Traffic,Rainy,Normal Day,No
Coffee Mug,-,DimGray,Theme Park Entrance,19-09-2024,16-09-2024,Personal Accessories,19-09-2024,Repeat Reporter,Housekeeping,Low,Damaged,Covered,Low Traffic,Rainy,During Event,Yes
Laptop,Atkinson-Underwood,Chartreuse,Shopping Mall,14-06-2023,21-05-2023,Books,29-05-2023,Repeat Reporter,None,Low,Damaged,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Wallet,-,PowderBlue,Rooftop Bar,24-08-2023,30-07-2023,Electronics,18-08-2023,First Time Reporter,Information Desk,Medium,Good,Not Covered,Moderate Traffic,Snowy,During Event,Yes
Watch,Gordon-Howard,LimeGreen,Gym,14-09-2024,31-08-2024,Clothing,12-09-2024,Repeat Reporter,Information Desk,High,Damaged,Covered,High Traffic,Snowy,During Event,Yes
Wallet,Liu and Sons,Olive,Ice Skating Rink,05-02-2023,10-01-2023,Clothing,30-01-2023,First Time Reporter,Housekeeping,High,Excellent,Covered,Low Traffic,Rainy,Normal Day,No
Phone Charger,Perez-Greene,LightSkyBlue,Student Center,22-03-2023,24-02-2023,Sporting Goods,12-03-2023,Repeat Reporter,Housekeeping,Low,Good,Covered,Low Traffic,Cloudy,During Event,Yes
ID Card,-,LightSeaGreen,Coffee Shop Patio,12-06-2023,01-06-2023,Books,06-06-2023,Repeat Reporter,Information Desk,Medium,Good,Covered,High Traffic,Rainy,During Event,Yes
Charger,"Briggs, Sanders and Benitez",Fuchsia,Rooftop Pool,19-10-2024,09-10-2024,Electronics,17-10-2024,Repeat Reporter,Housekeeping,High,Excellent,Not Covered,High Traffic,Snowy,Normal Day,Yes
Umbrella,-,SeaShell,Campus Trail,08-09-2024,13-08-2024,Electronics,14-08-2024,Repeat Reporter,Security,Low,Good,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
ID Card,-,LightGoldenRodYellow,Stadium Stands,27-06-2024,28-05-2024,Personal Accessories,27-06-2024,Repeat Reporter,Information Desk,Low,Damaged,Covered,High Traffic,Rainy,Normal Day,No
Backpack,-,CornflowerBlue,Study Lounge,02-05-2023,23-04-2023,Clothing,01-05-2023,Repeat Reporter,None,Low,Good,Covered,Moderate Traffic,Sunny,During Event,No
Charger,-,MediumPurple,Library,11-07-2023,11-06-2023,Sporting Goods,27-06-2023,First Time Reporter,None,Medium,Good,Not Covered,High Traffic,Sunny,Normal Day,No
Tablet,Elliott PLC,Sienna,Park,19-06-2024,23-05-2024,Books,07-06-2024,First Time Reporter,None,Medium,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Necklace,Blankenship and Sons,Magenta,Student Union,28-04-2023,11-04-2023,Clothing,18-04-2023,First Time Reporter,None,High,Excellent,Not Covered,High Traffic,Sunny,Normal Day,Yes
Book,-,Crimson,Bus Stop,27-07-2023,04-07-2023,Electronics,25-07-2023,First Time Reporter,Security,Low,Good,Covered,Low Traffic,Sunny,Normal Day,No
Keys,Waters-Griffin,SteelBlue,Cafeteria,24-08-2023,16-08-2023,Personal Accessories,19-08-2023,First Time Reporter,Housekeeping,High,Good,Covered,High Traffic,Sunny,Normal Day,Yes
Laptop,Sanchez-Gordon,MediumSeaGreen,Bus Stop,14-03-2023,01-03-2023,Electronics,06-03-2023,Repeat Reporter,Information Desk,Medium,Excellent,Covered,Low Traffic,Cloudy,During Event,No
Phone Charger,Garcia-Brown,Aqua,Cafeteria,12-10-2024,04-10-2024,Sporting Goods,04-10-2024,First Time Reporter,Security,High,Excellent,Not Covered,Low Traffic,Sunny,During Event,No
Headphones,Archer-Gomez,AliceBlue,Library Study Room,29-05-2024,23-05-2024,Sporting Goods,26-05-2024,Repeat Reporter,Information Desk,Low,Damaged,Covered,Low Traffic,Rainy,Normal Day,No
Watch,-,DarkKhaki,Student Union,30-09-2023,12-09-2023,Books,16-09-2023,First Time Reporter,Information Desk,High,Excellent,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Phone Charger,-,LightSeaGreen,Outdoor Patio,24-10-2023,10-10-2023,Clothing,17-10-2023,First Time Reporter,None,Low,Damaged,Covered,Low Traffic,Cloudy,During Event,Yes
Coffee Mug,Tyler and Sons,GreenYellow,Computer Lab,04-09-2023,28-08-2023,Books,29-08-2023,Repeat Reporter,None,Low,Excellent,Covered,High Traffic,Sunny,During Event,No
Wallet,-,PapayaWhip,Library,10-11-2023,04-11-2023,Sporting Goods,07-11-2023,First Time Reporter,Information Desk,Low,Damaged,Not Covered,Low Traffic,Rainy,During Event,Yes
Jacket,-,Tomato,Gym,05-05-2024,22-04-2024,Personal Accessories,25-04-2024,Repeat Reporter,Information Desk,Low,Excellent,Covered,High Traffic,Rainy,During Event,Yes
Tumbler,-,Cyan,Quad,14-07-2024,03-07-2024,Clothing,07-07-2024,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Necklace,Green Inc,LightPink,Cafeteria,09-09-2023,02-09-2023,Personal Accessories,03-09-2023,Repeat Reporter,Information Desk,Medium,Damaged,Covered,High Traffic,Sunny,During Event,No
Tablet,Johnson and Sons,LightSlateGray,Baseball Field,18-02-2023,27-01-2023,Sporting Goods,14-02-2023,Repeat Reporter,Information Desk,High,Damaged,Covered,Low Traffic,Snowy,During Event,Yes
Sunglasses,-,DarkRed,Football Stadium,21-07-2024,05-07-2024,Personal Accessories,16-07-2024,First Time Reporter,None,Low,Excellent,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Headphones,Sanchez LLC,GoldenRod,Shopping Mall,04-07-2023,14-06-2023,Sporting Goods,27-06-2023,First Time Reporter,Information Desk,Medium,Excellent,Covered,High Traffic,Sunny,Normal Day,Yes
Headphones,-,Azure,Rooftop Bar,03-01-2024,05-12-2023,Clothing,12-12-2023,First Time Reporter,Information Desk,Medium,Excellent,Covered,Moderate Traffic,Sunny,Normal Day,Yes
Laptop,-,Olive,Library Stacks,19-06-2023,30-05-2023,Sporting Goods,02-06-2023,First Time Reporter,None,Medium,Damaged,Not Covered,Moderate Traffic,Cloudy,During Event,No
Tumbler,"Brooks, Peck and Sawyer",AntiqueWhite,Bus Ride,08-12-2023,17-11-2023,Books,26-11-2023,Repeat Reporter,Security,Low,Excellent,Not Covered,Moderate Traffic,Snowy,During Event,Yes
Necklace,-,RoyalBlue,Coffee Shop,16-04-2023,21-03-2023,Personal Accessories,15-04-2023,First Time Reporter,Information Desk,Medium,Excellent,Covered,Low Traffic,Sunny,Normal Day,Yes
Earbuds,Kelly-Mendoza,AliceBlue,Park,27-06-2023,07-06-2023,Clothing,15-06-2023,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,High Traffic,Cloudy,Normal Day,No
Hat,-,Fuchsia,Classroom 303,01-01-2023,08-12-2022,Clothing,01-01-2023,Repeat Reporter,Security,Low,Good,Covered,Low Traffic,Snowy,Normal Day,No
Tumbler,-,ForestGreen,Student Lounge,19-07-2023,16-07-2023,Books,16-07-2023,Repeat Reporter,Information Desk,High,Excellent,Not Covered,Moderate Traffic,Snowy,Normal Day,Yes
ID Card,-,BlueViolet,Dormitory Lounge,08-09-2024,14-08-2024,Books,07-09-2024,First Time Reporter,Information Desk,Medium,Damaged,Covered,Low Traffic,Snowy,During Event,No
Notebook,-,BlueViolet,Soccer Field,22-03-2024,28-02-2024,Personal Accessories,21-03-2024,First Time Reporter,Housekeeping,High,Damaged,Covered,Moderate Traffic,Snowy,Normal Day,Yes
Notebook,"Gallegos, Baxter and Williams",PaleGreen,Science Building,19-10-2023,17-10-2023,Sporting Goods,17-10-2023,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,High Traffic,Snowy,Normal Day,Yes
Backpack,-,Thistle,Hiking Trail,17-04-2024,26-03-2024,Books,15-04-2024,First Time Reporter,Security,Low,Excellent,Not Covered,High Traffic,Cloudy,During Event,No
Necklace,-,PapayaWhip,Student Center,15-07-2023,09-07-2023,Personal Accessories,14-07-2023,Repeat Reporter,Information Desk,Low,Damaged,Not Covered,Moderate Traffic,Cloudy,During Event,No
Laptop,-,SkyBlue,Outdoor Concert Venue,19-07-2023,09-07-2023,Clothing,11-07-2023,Repeat Reporter,None,Low,Excellent,Not Covered,High Traffic,Snowy,During Event,No
Backpack,-,DarkOliveGreen,Library,15-01-2023,01-01-2023,Books,01-01-2023,First Time Reporter,Information Desk,Low,Excellent,Covered,Low Traffic,Rainy,Normal Day,No
Tumbler,-,Yellow,Classroom 201,05-07-2024,21-06-2024,Personal Accessories,26-06-2024,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,High Traffic,Cloudy,During Event,Yes
Necklace,-,GoldenRod,Library Study Room,21-02-2023,18-02-2023,Clothing,18-02-2023,Repeat Reporter,Information Desk,Low,Good,Not Covered,Moderate Traffic,Snowy,Normal Day,Yes
Notebook,-,LightSteelBlue,Bus Stop,30-11-2024,28-11-2024,Electronics,28-11-2024,Repeat Reporter,None,High,Damaged,Covered,Low Traffic,Cloudy,During Event,No
Notebook,-,MediumBlue,Beach,27-08-2023,26-08-2023,Electronics,26-08-2023,Repeat Reporter,None,Low,Good,Covered,Low Traffic,Snowy,Normal Day,Yes
Headphones,"Alvarez, Waters and Sanchez",MediumSeaGreen,Study Lounge,18-06-2024,24-05-2024,Sporting Goods,31-05-2024,First Time Reporter,Housekeeping,High,Good,Covered,Low Traffic,Snowy,During Event,No
Cell Phone,-,Yellow,Coffee Shop,20-05-2023,20-04-2023,Personal Accessories,04-05-2023,Repeat Reporter,Security,Low,Good,Covered,Low Traffic,Snowy,During Event,No
